Composition,Uses
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Progesterone (50mg/ml), Hormone replacement therapy Female infertility
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Labetalol (200mg), Hypertension (high blood pressure) Angina (heart-related chest pain) Prevention of heart attack and stroke
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Gabapentin (100mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Paracetamol (500mg), Pain reliefTreatment of Fever
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Losartan (50mg),Treatment of Hypertension (high blood pressure)Treatment of Heart failure Prevention of heart attack and stroke
Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glibenclamide (5mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Terbinafine (1% w/w), Fungal skin infections
Gliclazide (60mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Escitalopram Oxalate (5mg),Treatment of DepressionTreatment of Anxiety disorderTreatment of Panic disorder
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Febuxostat (40mg),Treatment of Gout
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Gliclazide (40mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Domperidone (5mg) + Paracetamol (250mg),Treatment of Migraine
Glimepiride (3mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gliclazide (30mg) + Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Danazol (200mg),Treatment of Benign fibrocystic breast diseaseTreatment of EndometriosisTreatment of Premenstrual syndrome (PMS)Treatment of Menstrual pain
Gliclazide (80mg),Treatment of Type 2 diabetes mellitus
Glibenclamide (5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Timolol (0.5% w/v), Glaucoma Ocular hypertension
Rifaximin (400mg),Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
Rifaximin (550mg),Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Metformin (500mg) + Myo-Inositol (600mg),Treatment of Polycystic ovarian syndrome (PCOS)
Glimepiride (4mg),Treatment of Type 2 diabetes mellitus
Clotrimazole (1% w/w),Treatment of Fungal skin infections
Isotretinoin (5mg),Treatment of Acne
Progesterone (100mg), Hormone replacement therapy Female infertility
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Zoledronic acid (5mg/100ml), Osteoporosis Hypercalcemia
Amitriptyline (10mg) + Pregabalin (50mg), Neuropathic pain
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Silodosin (4mg),Treatment of Benign prostatic hyperplasia
Magaldrate (500mg) + Alginic Acid (100mg) + Simethicone (25mg), Acidity Heartburn Stomach ulcers
Dabigatran Etexilate (110mg),Treatment and prevention of Blood clots
Meropenem (1000mg), Severe bacterial infections
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (1500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Minoxidil (5% w/v),Treatment of Hair loss
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Lindane (1% w/w), Scabies
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Gabapentin (100mg),Treatment of Neuropathic painTreatment of Epilepsy/Seizures
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Amoxycillin  (500mg) +  Clavulanic Acid (125mg),Treatment of Bacterial infections
Gefitinib (250mg), Non-small cell lung cancer
Glimepiride (1mg) + Metformin (750mg),Treatment of Type 2 diabetes mellitus
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glycopyrrolate (1mg), General Anaesthesia Peptic ulcer disease
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Metformin (1000mg) + Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Insulin Glargine (100IU), Diabetes
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glimepiride (2mg) + Metformin (750mg),Treatment of Type 2 diabetes mellitus
Tamsulosin (0.4mg),Treatment of Benign prostatic hyperplasia
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Zinc Carnosine (75mg), Nutritional deficiencies
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Human Normal Immunoglobulin (5gm), Immunoglobulins deficiency
Galantamine (8mg), Alzheimer's disease
Glibenclamide (5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Colistimethate Sodium (2Million IU), Severe bacterial infections
Itraconazole (100mg),Treatment of Fungal infections
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Gabapentin (100mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Paracetamol (650mg), Pain reliefTreatment of Fever
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Benzocaine (20% w/v) + Chlorhexidine Gluconate (0.2% w/v),Treatment of Mouth ulcers
Hepatitis B Vaccine (rDNA) (10mcg), Prevention of Hepatitis B infection
Methylcobalamin (500mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Glimepiride (3mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Amitriptyline (10mg) + Pregabalin (75mg), Neuropathic pain
Pioglitazone (15mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gefitinib (250mg), Non-small cell lung cancer
Levosulpiride (75mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Intestinal ulcersTreatment of Irritable bowel syndrome
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Dabigatran Etexilate (150mg),Treatment and prevention of Blood clots
Cefuroxime (250mg),Treatment of Bacterial infections
Cefpodoxime Proxetil (200mg) + Clavulanic Acid (125mg),Treatment of Respiratory tract infection
Mupirocin (2% w/w),Treatment of Bacterial skin infections
Isotretinoin (30mg),Treatment of Acne
Methylcobalamin (750mcg) + Pregabalin (75mg),Treatment of Neuropathic pain
Glibenclamide (5mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Methylcobalamin (500mcg) + Pregabalin (50mg),Treatment of Neuropathic pain
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Progesterone (200mg), Hormone replacement therapy Female infertility
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (3mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glucagon (1mg), Severe hypoglycemia
Ginkgo Biloba (60mg) + Piracetam (800mg) + Vinpocetine (5mg), Cognitive enhancer
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Lactitol (10gm) + Ispaghula (3.5gm),Treatment of Constipation
Pioglitazone (7.5mg),Treatment of Type 2 diabetes mellitus
Doxylamine (10mg) + Vitamin B6 (Pyridoxine) (10mg),Treatment of Nausea and vomiting in pregnancy
Itraconazole (200mg),Treatment of Fungal infections
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Rosuvastatin (40mg),Treatment of High cholesterol Prevention of heart attack and stroke
Minoxidil (5% w/v),Treatment of Hair loss
Cefpodoxime Proxetil (100mg/5ml),Treatment of Bacterial infections
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (750mg),Treatment of Type 2 diabetes mellitus
Progesterone (Natural Micronized) (200mg), Hormone replacement therapyTreatment of Female infertility
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gemcitabine (1gm), Non-small cell lung cancer Breast cancer Pancreatic cancer Urinary bladder cancer Ovarian cancer
Glimepiride (1mg) + Metformin (750mg),Treatment of Type 2 diabetes mellitus
Glucosamine (750mg) + Diacerein (50mg) + Methyl Sulfonyl Methane (250mg), Osteoarthritis
Lindane (1% w/v), Scabies
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gentamicin (0.1% w/w), Bacterial skin infections
Glipizide (2.5mg),Treatment of Type 2 diabetes mellitus
Calcium Gluconate (50mg) + Calcium Lactobionate (87.5mg), Calcium deficiency
Glimepiride (1mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (500mg) + Vitamin D3 (400IU),Treatment of Type 2 diabetes mellitus
Cefpodoxime Proxetil (200mg),Treatment of Bacterial infections
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Gabapentin (300mg) + Methylcobalamin (500mcg),Treatment of Neuropathic pain
Glibenclamide (1.25mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (0.5mg), Prevention of organ rejection in transplant patients
Ulipristal acetate (5mg), Uterine fibroids
Human Normal Immunoglobulin (5gm), Immunoglobulins deficiency
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gamma Benzene Hexachloride (1% w/w), Scabies
Glimepiride (3mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Teneligliptin (20mg),Treatment of Type 2 diabetes mellitus
Minoxidil (2% w/v),Treatment of Hair loss
Fenofibrate (160mg) + Rosuvastatin (10mg),Treatment of High cholesterolPrevention of Heart attack
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (850mg),Treatment of Type 2 diabetes mellitus
Glimepiride (2mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Tacrolimus (1mg), Prevention of organ rejection in transplant patients
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Gliclazide (80mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Rosuvastatin (10mg),Treatment of High cholesterol Prevention of heart attack and stroke
Lindane (1% w/v), Scabies
Glimepiride (4mg),Treatment of Type 2 diabetes mellitus
Diclofenac (1.16% w/w) + Linseed Oil (3% w/w) + Menthol (5% w/w) + Methyl Salicylate (10% w/w), Pain relief
Glibenclamide (2.5mg) + Metformin (250mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Chlorthalidone (12.5mg), Hypertension (high blood pressure)
Glimepiride (2mg) + Metformin (1000mg) + Voglibose (0.2mg),Treatment of Type 2 diabetes mellitus
Pioglitazone (30mg),Treatment of Type 2 diabetes mellitus
Rifaximin (550mg),Treatment of Hepatic encephalopathyTreatment of Infectious diarrhea
Amlodipine (5mg) + Lisinopril (5mg), Hypertension (high blood pressure)
Lindane (NA), Scabies
Glimepiride (2mg) + Metformin (500mg),Treatment of Type 2 diabetes mellitus
Pregabalin (75mg),Treatment of Neuropathic painTreatment of Epilepsy/SeizuresTreatment of Fibromyalgia
Glimepiride (1mg) + Metformin (500mg) + Pioglitazone (15mg),Treatment of Type 2 diabetes mellitus
Nateglinide (120mg),Treatment of Type 2 diabetes mellitus
Glimepiride (1mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Glimepiride (4mg) + Metformin (1000mg),Treatment of Type 2 diabetes mellitus
Gabapentin (400mg) + Nortriptyline (10mg),Treatment of Neuropathic pain
Telmisartan (40mg),Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure
Glimepiride (3mg),Treatment of Type 2 diabetes mellitus
Aspirin (75mg) + Rosuvastatin (10mg) + Clopidogrel (75mg), Heart attack
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Telmisartan (40mg) + Metoprolol Succinate (25mg),Treatment of Hypertension (high blood pressure)
Voglibose (0.2mg) + Metformin (500mg) + Gliclazide (40mg),Treatment of Type 2 diabetes mellitus
Telmisartan (40mg) + Amlodipine (5mg),Treatment of Hypertension (high blood pressure)
Aceclofenac (100mg) + Paracetamol (325mg), Pain relief
Hydroxychloroquine (200mg),Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus
Sumatriptan (85mg) + Naproxen (500mg),Treatment of Migraine
Omeprazole (20mg) + Tinidazole (500mg) + Amoxycillin (750mg),Treatment of Peptic ulcer disease
L-Ornithine L-Aspartate (150mg) + Pancreatin (100mg),Treatment of Indigestion
Aceclofenac (100mg) + Paracetamol (325mg) + Chlorzoxazone (500mg),Treatment of Muscular pain
L-Ornithine L-Aspartate (5gm),Treatment of Liver  disease
Hyoscyamine (0.125mg),Treatment of Peptic ulcer diseaseTreatment of Irritable bowel syndrome Pain relief
Ademetionine (400mg),Treatment of Liver  disease
Montelukast (10mg) + Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergies
Hydroxyzine (10mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Human insulin (40IU), Diabetes
Fexofenadine (120mg),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Human chorionic gonadotropin (hCG) (5000IU),Treatment of Female infertilityTreatment of Male hypogonadism
Chlorhexidine Gluconate (1% w/w),Treatment of Mouth infection
Tolvaptan (15mg),Treatment of Low levels of sodium in the blood
Insulin Isophane/NPH   (70%) +   Human Insulin/Soluble Insulin (30%), Diabetes
Insulin Isophane/NPH   (70%) +   Human Insulin/Soluble Insulin (30%), Diabetes
Lanolin (100% w/w) + Lidocaine (1% w/w) + Menthol (1% w/w) + Thymol (0.5% w/w),Treatment of Piles
Hydroxyzine (25mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Domperidone (30mg) + Rabeprazole (20mg),Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer disease
Fexofenadine (30mg/5ml),Treatment of Sneezing and runny nose due to allergiesTreatment of Allergic conditions
Sodium Hyaluronate (0.1% w/v),Treatment of Dry eyes
Calcium Chloride (0.070gm) + Potassium Chloride (0.038gm) + Sodium Chloride (0.85gm), Short term fluid replacement after trauma
Insulin Isophane/NPH   (70%) +   Human Insulin/Soluble Insulin (30%), Diabetes
Aceclofenac (100mg), Pain relief
Hydrocortisone (100mg), Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders
Aceclofenac (100mg) + Paracetamol (325mg) + Serratiopeptidase (15mg), Pain relief
Mometasone (0.1% w/w),Treatment of Skin conditions with inflammation & itching
Ursodeoxycholic Acid (300mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Acyclovir (5% w/w), Herpes labialis
Hydroxychloroquine (300mg),Treatment of Rheumatoid arthritisTreatment of Systemic lupus erythematosus (SLE)Treatment of Type 2 diabetes mellitus
Mometasone (0.1% w/w) + Fusidic Acid (2% w/w),Treatment of Skin conditions with inflammation & itching
Chlorhexidine Gluconate (0.2% w/v),Treatment of Mouth infection
L-Ornithine L-Aspartate (3gm),Treatment of Liver  disease
Hydroxyzine (6mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Mometasone (0.1% w/w) + Clotrimazole (1% w/w),Treatment of Fungal skin infections
Aceclofenac (100mg) + Thiocolchicoside (4mg),Treatment of Pain due to muscle spasm
Ursodeoxycholic Acid (150mg),Treatment of Primary biliary cirrhosisTreatment of Gallbladder stones
Halobetasol (0.05% w/w), Skin conditions with inflammation & itching
Hydroxyzine (10mg),Treatment of AnxietyTreatment of Skin conditions with inflammation & itching
Aceclofenac (200mg), Pain relief
Clofazimine (100mg), Leprosy
Allium Cepa (0.1gm) + Allantoin (0.01gm) + Heparin (50IU), Burns Stretch Marks
Acyclovir (400mg), Herpes Simplex Virus Infections Chickenpox Herpes labialis Shingles Genital herpes infection
